# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	170191	248200	-	XP_066169065.1		XM_066312968.1	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X1	AGAP3	136357576		3252	1083	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	216266	278467	-	XM_066312998.1		XP_066169095.1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3, transcript variant X4	AGAP3	136357576		1313	1313	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	216710	278467	-	XM_066312988.1		XP_066169085.1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3, transcript variant X3	AGAP3	136357576		2209	2209	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	217691	278376	-	XP_066169085.1		XM_066312988.1	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X3	AGAP3	136357576		1137	378	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	217691	278376	-	XP_066169095.1		XM_066312998.1	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X3	AGAP3	136357576		1137	378	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	285155	287123	+				transmembrane and ubiquitin like domain containing 1	TMUB1	136357624		1969		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	285155	287123	+	XM_066313057.1		XP_066169154.1	transmembrane and ubiquitin like domain containing 1	TMUB1	136357624		1441	1441	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	285283	286527	+	XP_066169154.1		XM_066313057.1	transmembrane and ubiquitin-like domain-containing protein 1	TMUB1	136357624		717	238	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	287334	297084	+				Fas activated serine/threonine kinase	FASTK	136357590		9751		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	287334	297084	+	XM_066313011.1		XP_066169108.1	Fas activated serine/threonine kinase	FASTK	136357590		2971	2971	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	287868	296771	+	XP_066169108.1		XM_066313011.1	fas-activated serine/threonine kinase	FASTK	136357590		2472	823	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	297286	314106	-				solute carrier family 4 member 2	SLC4A2	136357566		16821		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	297286	314106	-	XM_066312957.1		XP_066169054.1	solute carrier family 4 member 2	SLC4A2	136357566		4489	4491	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	297698	308432	-	XP_066169054.1		XM_066312957.1	LOW QUALITY PROTEIN: anion exchange protein 2	SLC4A2	136357566		3709	1236	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	312855	317152	+				cyclin dependent kinase 5	CDK5	136375591		4298		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	312855	317152	+	XM_066341200.1		XP_066197297.1	cyclin dependent kinase 5	CDK5	136375591		1822	1822	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	312855	317031	+	XP_066197297.1		XM_066341200.1	LOW QUALITY PROTEIN: cyclin-dependent kinase 5	CDK5	136375591		1701	566	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	317768	325192	-				acid sensing ion channel subunit 3	ASIC3	136357599		7425		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	317768	325192	-	XM_066313023.1		XP_066169120.1	acid sensing ion channel subunit 3	ASIC3	136357599		2093	2097	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	317866	324756	-	XP_066169120.1		XM_066313023.1	LOW QUALITY PROTEIN: acid-sensing ion channel 3	ASIC3	136357599		1559	520	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	326372	331311	-				ATP binding cassette subfamily B member 8	ABCB8	136357630		4940		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	326372	331311	-	XM_066313068.1		XP_066169165.1	ATP binding cassette subfamily B member 8	ABCB8	136357630		2107	2101	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	326412	331311	-	XP_066169165.1		XM_066313068.1	LOW QUALITY PROTEIN: mitochondrial potassium channel ATP-binding subunit	ABCB8	136357630		2067	686	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	333474	338405	+				autophagy related 9B	ATG9B	136357637		4932		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	333474	338405	+	XM_066313081.1		XP_066169178.1	autophagy related 9B	ATG9B	136357637		2346	2350	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	333483	338395	+	XP_066169178.1		XM_066313081.1	LOW QUALITY PROTEIN: autophagy-related protein 9B	ATG9B	136357637		2327	776	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	340040	352387	-				nitric oxide synthase 3	NOS3	136375600		12348		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	340040	352387	-	XM_066341210.1		XP_066197307.1	nitric oxide synthase 3	NOS3	136375600		3042	3042	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	340040	352387	-	XP_066197307.1		XM_066341210.1	nitric oxide synthase 3	NOS3	136375600		3042	1013	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	357510	359971	+				retinoic acid receptor responder 2	RARRES2	136357644		2462		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	357510	359971	+	XM_066313095.1		XP_066169192.1	retinoic acid receptor responder 2	RARRES2	136357644		693	692	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	357510	359730	+	XP_066169192.1		XM_066313095.1	LOW QUALITY PROTEIN: retinoic acid receptor responder protein 2	RARRES2	136357644		547	181	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	361048	362346	-				leucine rich repeat containing 61	LRRC61	136362043		1299		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	361048	362346	-	XM_066320335.1		XP_066176432.1	leucine rich repeat containing 61	LRRC61	136362043		1299	1303	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	361048	362303	-	XP_066176432.1		XM_066320335.1	LOW QUALITY PROTEIN: leucine-rich repeat-containing protein 61	LRRC61	136362043		1256	419	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	363094	366161	-				zinc finger protein 467	ZNF467	136357805		3068		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	363094	366161	-	XM_066313386.1		XP_066169483.1	zinc finger protein 467	ZNF467	136357805		2001	2001	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	363355	365558	-	XP_066169483.1		XM_066313386.1	zinc finger protein 467	ZNF467	136357805		1680	559	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	367100	396978	+				SCO-spondin-like	LOC136375611	136375611		29879		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	367100	396978	+	XM_066341221.1		XP_066197318.1	SCO-spondin-like	LOC136375611	136375611		10779	10776	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	367100	396978	+	XP_066197318.1		XM_066341221.1	LOW QUALITY PROTEIN: SCO-spondin-like	LOC136375611	136375611		10779	3591	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	397944	406526	+				transforming growth factor beta regulator 4	TBRG4	136357735		8583		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	397944	406526	+	XM_066313276.1		XP_066169373.1	transforming growth factor beta regulator 4	TBRG4	136357735		2232	2232	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	398351	406251	+	XP_066169373.1		XM_066313276.1	FAST kinase domain-containing protein 4	TBRG4	136357735		1866	621	
gene	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	403376	403505	+				small nucleolar RNA SNORA5	LOC136372976	136372976		130		
ncRNA	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	403376	403505	+	XR_010745556.1			small nucleolar RNA SNORA5	LOC136372976	136372976		130	130	
gene	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	404342	404474	+				small nucleolar RNA SNORA5	LOC136372987	136372987		133		
ncRNA	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	404342	404474	+	XR_010745559.1			small nucleolar RNA SNORA5	LOC136372987	136372987		133	133	
gene	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	405399	405530	+				small nucleolar RNA SNORA5	LOC136372982	136372982		132		
ncRNA	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	405399	405530	+	XR_010745558.1			small nucleolar RNA SNORA5	LOC136372982	136372982		132	132	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	409558	416344	+				NAC alpha domain containing	NACAD	136375621		6787		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	409558	416344	+	XM_066341234.1		XP_066197331.1	NAC alpha domain containing	NACAD	136375621		4640	4640	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	409588	416213	+	XP_066197331.1		XM_066341234.1	NAC-alpha domain-containing protein 1	NACAD	136375621		4479	1492	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417168	428231	-				CCM2 scaffold protein	CCM2	136357766		11064		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417168	428231	-	XM_066313334.1		XP_066169431.1	CCM2 scaffold protein, transcript variant X3	CCM2	136357766		1906	1906	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417168	428231	-	XM_066313320.1		XP_066169417.1	CCM2 scaffold protein, transcript variant X1	CCM2	136357766		2080	2080	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417168	425338	-	XM_066313326.1		XP_066169423.1	CCM2 scaffold protein, transcript variant X2	CCM2	136357766		1946	1946	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417679	428009	-	XP_066169431.1		XM_066313334.1	cerebral cavernous malformations 2 protein isoform X3	CCM2	136357766		1173	390	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417679	428009	-	XP_066169417.1		XM_066313320.1	cerebral cavernous malformations 2 protein isoform X1	CCM2	136357766		1347	448	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	417679	425232	-	XP_066169423.1		XM_066313326.1	cerebral cavernous malformations 2 protein isoform X2	CCM2	136357766		1329	442	
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	428393	429858	+				uncharacterized LOC136357818	LOC136357818	136357818		1466		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	428393	429858	+	XR_010742958.1			uncharacterized lncRNA	LOC136357818	136357818		647	647	
gene	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	428665	428793	+				small nucleolar RNA SNORA9	LOC136372991	136372991		129		
ncRNA	snoRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	428665	428793	+	XR_010745563.1			small nucleolar RNA SNORA9	LOC136372991	136372991		129	129	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	430818	441929	+				protein tyrosine phosphatase non-receptor type 23	PTPN23	136357663		11112		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	430818	441929	+	XM_066313138.1		XP_066169235.1	protein tyrosine phosphatase non-receptor type 23	PTPN23	136357663		5281	5281	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	430849	441836	+	XP_066169235.1		XM_066313138.1	tyrosine-protein phosphatase non-receptor type 23	PTPN23	136357663		5157	1718	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	442876	478906	-				SREBF chaperone	SCAP	136357672		36031		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	442876	478906	-	XM_066313149.1		XP_066169246.1	SREBF chaperone	SCAP	136357672		4058	4058	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	442980	478825	-	XP_066169246.1		XM_066313149.1	sterol regulatory element-binding protein cleavage-activating protein	SCAP	136357672		3873	1290	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	492590	507706	-				elongator acetyltransferase complex subunit 6	ELP6	136357813		15117		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	492590	507706	-	XM_066313399.1		XP_066169496.1	elongator acetyltransferase complex subunit 6	ELP6	136357813		2301	2302	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	494045	507669	-	XP_066169496.1		XM_066313399.1	LOW QUALITY PROTEIN: elongator complex protein 6	ELP6	136357813		809	269	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	519080	527760	-				chondroitin sulfate proteoglycan 5	CSPG5	136375628		8681		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	519080	527760	-	XM_066341246.1		XP_066197343.1	chondroitin sulfate proteoglycan 5	CSPG5	136375628		2515	2511	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	519080	527760	-	XP_066197343.1		XM_066341246.1	LOW QUALITY PROTEIN: chondroitin sulfate proteoglycan 5	CSPG5	136375628		2515	836	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	534295	601061	-				SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	SMARCC1	136357718		66767		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	534295	601061	-	XM_066313242.1		XP_066169339.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	SMARCC1	136357718		4801	4801	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	535787	601061	-	XP_066169339.1		XM_066313242.1	SWI/SNF complex subunit SMARCC1	SMARCC1	136357718		3309	1102	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	602754	634438	+				DExH-box helicase 30	DHX30	136357678		31685		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	602754	634438	+	XM_066313181.1		XP_066169278.1	DExH-box helicase 30, transcript variant X3	DHX30	136357678		5051	5051	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	605941	632960	+	XP_066169278.1		XM_066313181.1	ATP-dependent RNA helicase DHX30 isoform X3	DHX30	136357678		3522	1173	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	610526	634438	+	XM_066313162.1		XP_066169259.1	DExH-box helicase 30, transcript variant X1	DHX30	136357678		5135	5135	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	610529	632960	+	XP_066169259.1		XM_066313162.1	ATP-dependent RNA helicase DHX30 isoform X1	DHX30	136357678		3654	1217	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	610718	634438	+	XM_066313171.1		XP_066169268.1	DExH-box helicase 30, transcript variant X2	DHX30	136357678		5102	5102	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	610814	632960	+	XP_066169268.1		XM_066313171.1	ATP-dependent RNA helicase DHX30 isoform X2	DHX30	136357678		3528	1175	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639026	790108	-				microtubule associated protein 4	MAP4	136357691		151083		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639026	790105	-	XM_066313195.1		XP_066169292.1	microtubule associated protein 4, transcript variant X1	MAP4	136357691		4432	4432	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639714	742430	-	XP_066169292.1		XM_066313195.1	microtubule-associated protein 4 isoform X1	MAP4	136357691		3588	1195	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639725	790108	-	XM_066313220.1		XP_066169317.1	microtubule associated protein 4, transcript variant X4	MAP4	136357691		3620	3620	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639725	790106	-	XM_066313212.1		XP_066169309.1	microtubule associated protein 4, transcript variant X3	MAP4	136357691		3624	3624	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639725	790104	-	XM_066313205.1		XP_066169302.1	microtubule associated protein 4, transcript variant X2	MAP4	136357691		3709	3709	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639725	790101	-	XM_066313230.1		XP_066169327.1	microtubule associated protein 4, transcript variant X5	MAP4	136357691		3832	3832	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639814	742430	-	XP_066169309.1		XM_066313212.1	microtubule-associated protein 4 isoform X3	MAP4	136357691		3378	1125	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639814	742430	-	XP_066169317.1		XM_066313220.1	microtubule-associated protein 4 isoform X4	MAP4	136357691		3372	1123	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639814	742430	-	XP_066169302.1		XM_066313205.1	microtubule-associated protein 4 isoform X2	MAP4	136357691		3465	1154	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	639814	742430	-	XP_066169327.1		XM_066313230.1	microtubule-associated protein 4 isoform X5	MAP4	136357691		3591	1196	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	812282	823199	-				cell division cycle 25A	CDC25A	136357759		10918		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	812282	823199	-	XM_066313312.1		XP_066169409.1	cell division cycle 25A	CDC25A	136357759		1689	1689	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	812341	823126	-	XP_066169409.1		XM_066313312.1	M-phase inducer phosphatase 1	CDC25A	136357759		1557	518	
gene	pseudogene	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	824737	828349	-				E3 ubiquitin-protein ligase TRIM7-like	LOC136361866	136361866		3613		pseudo
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	831391	848690	-				zinc finger protein 850-like	LOC136375358	136375358		17300		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	831391	848690	-	XM_066340826.1		XP_066196923.1	zinc finger protein 850-like	LOC136375358	136375358		4797	4797	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	831835	848627	-	XP_066196923.1		XM_066340826.1	zinc finger protein 850-like	LOC136375358	136375358		4290	1429	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	848976	852022	+				tigger transposable element-derived protein 3-like	LOC136357725	136357725		3047		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	848976	852022	+	XM_066313262.1		XP_066169359.1	tigger transposable element-derived protein 3-like, transcript variant X2	LOC136357725	136357725		2631	2631	
