Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_009819655.1	Primary Assembly	Un			WNMY01000025.1	Chromosome		NW_027077051.1	unplaced-scaffold	53374			scaffold_123_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000026.1	Chromosome		NW_027077052.1	unplaced-scaffold	53019			scaffold_124_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000027.1	Chromosome		NW_027077053.1	unplaced-scaffold	54174			scaffold_125_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000028.1	Chromosome		NW_027077054.1	unplaced-scaffold	53112			scaffold_126_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000029.1	Chromosome		NW_027077055.1	unplaced-scaffold	52566			scaffold_127_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000030.1	Chromosome		NW_027077056.1	unplaced-scaffold	53075			scaffold_128_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000031.1	Chromosome		NW_027077057.1	unplaced-scaffold	51338			scaffold_129_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000033.1	Chromosome		NW_027077058.1	unplaced-scaffold	51750			scaffold_130_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000034.1	Chromosome		NW_027077059.1	unplaced-scaffold	52126			scaffold_131_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000035.1	Chromosome		NW_027077060.1	unplaced-scaffold	51046			scaffold_132_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000036.1	Chromosome		NW_027077061.1	unplaced-scaffold	46862			scaffold_133_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000037.1	Chromosome		NW_027077062.1	unplaced-scaffold	45880			scaffold_134_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000038.1	Chromosome		NW_027077063.1	unplaced-scaffold	45401			scaffold_135_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000039.1	Chromosome		NW_027077064.1	unplaced-scaffold	44260			scaffold_136_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000040.1	Chromosome		NW_027077065.1	unplaced-scaffold	44005			scaffold_137_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000041.1	Chromosome		NW_027077066.1	unplaced-scaffold	43076			scaffold_138_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000042.1	Chromosome		NW_027077067.1	unplaced-scaffold	42329			scaffold_139_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000044.1	Chromosome		NW_027077068.1	unplaced-scaffold	42464			scaffold_140_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000045.1	Chromosome		NW_027077069.1	unplaced-scaffold	41662			scaffold_141_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000046.1	Chromosome		NW_027077070.1	unplaced-scaffold	40997			scaffold_142_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000047.1	Chromosome		NW_027077071.1	unplaced-scaffold	40276			scaffold_143_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000048.1	Chromosome		NW_027077072.1	unplaced-scaffold	38991			scaffold_144_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000049.1	Chromosome		NW_027077073.1	unplaced-scaffold	38622			scaffold_145_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000050.1	Chromosome		NW_027077074.1	unplaced-scaffold	38988			scaffold_146_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000051.1	Chromosome		NW_027077075.1	unplaced-scaffold	38805			scaffold_147_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000052.1	Chromosome		NW_027077076.1	unplaced-scaffold	37263			scaffold_148_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000053.1	Chromosome		NW_027077077.1	unplaced-scaffold	36806			scaffold_149_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000054.1	Chromosome		NW_027077078.1	unplaced-scaffold	92817			scaffold_14_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000056.1	Chromosome		NW_027077079.1	unplaced-scaffold	36688			scaffold_150_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000057.1	Chromosome		NW_027077080.1	unplaced-scaffold	36393			scaffold_151_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000058.1	Chromosome		NW_027077081.1	unplaced-scaffold	36559			scaffold_152_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000059.1	Chromosome		NW_027077082.1	unplaced-scaffold	35850			scaffold_153_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000060.1	Chromosome		NW_027077083.1	unplaced-scaffold	35629			scaffold_154_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000061.1	Chromosome		NW_027077084.1	unplaced-scaffold	35498			scaffold_155_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000062.1	Chromosome		NW_027077085.1	unplaced-scaffold	35264			scaffold_156_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000063.1	Chromosome		NW_027077086.1	unplaced-scaffold	34155			scaffold_157_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000064.1	Chromosome		NW_027077087.1	unplaced-scaffold	33966			scaffold_158_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000065.1	Chromosome		NW_027077088.1	unplaced-scaffold	34229			scaffold_159_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000067.1	Chromosome		NW_027077089.1	unplaced-scaffold	33903			scaffold_160_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000068.1	Chromosome		NW_027077090.1	unplaced-scaffold	34018			scaffold_161_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000069.1	Chromosome		NW_027077091.1	unplaced-scaffold	33264			scaffold_162_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000070.1	Chromosome		NW_027077092.1	unplaced-scaffold	31992			scaffold_163_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000071.1	Chromosome		NW_027077093.1	unplaced-scaffold	31547			scaffold_164_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000072.1	Chromosome		NW_027077094.1	unplaced-scaffold	31572			scaffold_165_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000073.1	Chromosome		NW_027077095.1	unplaced-scaffold	31094			scaffold_166_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000074.1	Chromosome		NW_027077096.1	unplaced-scaffold	30886			scaffold_168_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000075.1	Chromosome		NW_027077097.1	unplaced-scaffold	30499			scaffold_169_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000076.1	Chromosome		NW_027077098.1	unplaced-scaffold	106042			scaffold_16_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000078.1	Chromosome		NW_027077099.1	unplaced-scaffold	30202			scaffold_170_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000079.1	Chromosome		NW_027077100.1	unplaced-scaffold	30319			scaffold_171_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000080.1	Chromosome		NW_027077101.1	unplaced-scaffold	30529			scaffold_172_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000081.1	Chromosome		NW_027077102.1	unplaced-scaffold	30046			scaffold_173_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000082.1	Chromosome		NW_027077103.1	unplaced-scaffold	29958			scaffold_174_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000083.1	Chromosome		NW_027077104.1	unplaced-scaffold	29901			scaffold_175_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000084.1	Chromosome		NW_027077105.1	unplaced-scaffold	29353			scaffold_176_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000085.1	Chromosome		NW_027077106.1	unplaced-scaffold	29449			scaffold_177_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000086.1	Chromosome		NW_027077107.1	unplaced-scaffold	28647			scaffold_178_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000087.1	Chromosome		NW_027077108.1	unplaced-scaffold	28671			scaffold_179_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000089.1	Chromosome		NW_027077109.1	unplaced-scaffold	28444			scaffold_180_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000090.1	Chromosome		NW_027077110.1	unplaced-scaffold	27528			scaffold_181_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000091.1	Chromosome		NW_027077111.1	unplaced-scaffold	27158			scaffold_182_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000092.1	Chromosome		NW_027077112.1	unplaced-scaffold	26887			scaffold_183_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000093.1	Chromosome		NW_027077113.1	unplaced-scaffold	26609			scaffold_184_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000094.1	Chromosome		NW_027077114.1	unplaced-scaffold	26569			scaffold_185_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000095.1	Chromosome		NW_027077115.1	unplaced-scaffold	26925			scaffold_186_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000096.1	Chromosome		NW_027077116.1	unplaced-scaffold	26161			scaffold_187_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000097.1	Chromosome		NW_027077117.1	unplaced-scaffold	25427			scaffold_188_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000098.1	Chromosome		NW_027077118.1	unplaced-scaffold	25716			scaffold_189_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000100.1	Chromosome		NW_027077119.1	unplaced-scaffold	25595			scaffold_190_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000101.1	Chromosome		NW_027077120.1	unplaced-scaffold	25405			scaffold_191_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000102.1	Chromosome		NW_027077121.1	unplaced-scaffold	25150			scaffold_192_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000103.1	Chromosome		NW_027077122.1	unplaced-scaffold	24724			scaffold_193_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000104.1	Chromosome		NW_027077123.1	unplaced-scaffold	24759			scaffold_194_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000105.1	Chromosome		NW_027077124.1	unplaced-scaffold	24263			scaffold_195_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000106.1	Chromosome		NW_027077125.1	unplaced-scaffold	24124			scaffold_196_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000107.1	Chromosome		NW_027077126.1	unplaced-scaffold	23912			scaffold_197_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000108.1	Chromosome		NW_027077127.1	unplaced-scaffold	23823			scaffold_198_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000109.1	Chromosome		NW_027077128.1	unplaced-scaffold	22855			scaffold_199_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000113.1	Chromosome		NW_027077129.1	unplaced-scaffold	23140			scaffold_200_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000114.1	Chromosome		NW_027077130.1	unplaced-scaffold	22649			scaffold_201_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000115.1	Chromosome		NW_027077131.1	unplaced-scaffold	22361			scaffold_202_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000116.1	Chromosome		NW_027077132.1	unplaced-scaffold	22072			scaffold_203_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000117.1	Chromosome		NW_027077133.1	unplaced-scaffold	22412			scaffold_204_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000118.1	Chromosome		NW_027077134.1	unplaced-scaffold	21993			scaffold_205_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000119.1	Chromosome		NW_027077135.1	unplaced-scaffold	22216			scaffold_206_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000120.1	Chromosome		NW_027077136.1	unplaced-scaffold	22019			scaffold_207_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000121.1	Chromosome		NW_027077137.1	unplaced-scaffold	21711			scaffold_208_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000122.1	Chromosome		NW_027077138.1	unplaced-scaffold	21643			scaffold_209_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000124.1	Chromosome		NW_027077139.1	unplaced-scaffold	21322			scaffold_210_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000125.1	Chromosome		NW_027077140.1	unplaced-scaffold	21094			scaffold_211_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000126.1	Chromosome		NW_027077141.1	unplaced-scaffold	21015			scaffold_212_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000127.1	Chromosome		NW_027077142.1	unplaced-scaffold	20760			scaffold_213_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000128.1	Chromosome		NW_027077143.1	unplaced-scaffold	17080			scaffold_214_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000129.1	Chromosome		NW_027077144.1	unplaced-scaffold	11223			scaffold_215_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000130.1	Chromosome		NW_027077145.1	unplaced-scaffold	9680			scaffold_216_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000131.1	Chromosome		NW_027077146.1	unplaced-scaffold	7323			scaffold_217_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000132.1	Chromosome		NW_027077147.1	unplaced-scaffold	6792			scaffold_218_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000133.1	Chromosome		NW_027077148.1	unplaced-scaffold	628			scaffold_219_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000145.1	Chromosome		NW_027077149.1	unplaced-scaffold	157325			scaffold_36_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000149.1	Chromosome		NW_027077150.1	unplaced-scaffold	148029			scaffold_41_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000156.1	Chromosome		NW_027077151.1	unplaced-scaffold	265342			scaffold_64_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000157.1	Chromosome		NW_027077152.1	unplaced-scaffold	263594			scaffold_65_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000158.1	Chromosome		NW_027077153.1	unplaced-scaffold	242850			scaffold_66_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000159.1	Chromosome		NW_027077154.1	unplaced-scaffold	242606			scaffold_67_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000160.1	Chromosome		NW_027077155.1	unplaced-scaffold	215270			scaffold_68_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000161.1	Chromosome		NW_027077156.1	unplaced-scaffold	198904			scaffold_69_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000163.1	Chromosome		NW_027077157.1	unplaced-scaffold	190020			scaffold_72_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000164.1	Chromosome		NW_027077158.1	unplaced-scaffold	172628			scaffold_74_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000165.1	Chromosome		NW_027077159.1	unplaced-scaffold	165736			scaffold_75_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000166.1	Chromosome		NW_027077160.1	unplaced-scaffold	166207			scaffold_76_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000167.1	Chromosome		NW_027077161.1	unplaced-scaffold	155734			scaffold_77_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000168.1	Chromosome		NW_027077162.1	unplaced-scaffold	149863			scaffold_78_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000170.1	Chromosome		NW_027077163.1	unplaced-scaffold	128057			scaffold_81_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000171.1	Chromosome		NW_027077164.1	unplaced-scaffold	92056			scaffold_83_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000172.1	Chromosome		NW_027077165.1	unplaced-scaffold	108671			scaffold_84_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000173.1	Chromosome		NW_027077166.1	unplaced-scaffold	106548			scaffold_85_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000174.1	Chromosome		NW_027077167.1	unplaced-scaffold	94953			scaffold_86_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000175.1	Chromosome		NW_027077168.1	unplaced-scaffold	95410			scaffold_87_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000176.1	Chromosome		NW_027077169.1	unplaced-scaffold	92958			scaffold_88_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000177.1	Chromosome		NW_027077170.1	unplaced-scaffold	92315			scaffold_89_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000179.1	Chromosome		NW_027077171.1	unplaced-scaffold	91112			scaffold_90_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000180.1	Chromosome		NW_027077172.1	unplaced-scaffold	89739			scaffold_91_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000181.1	Chromosome		NW_027077173.1	unplaced-scaffold	89716			scaffold_92_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000182.1	Chromosome		NW_027077174.1	unplaced-scaffold	89382			scaffold_93_arrow_ctg1
GCF_009819655.1	Primary Assembly	Un			WNMY01000183.1	Chromosome		NW_027077175.1	unplaced-scaffold	88258			scaffold_94_arrow_ctg1
